new_id,Годовая выручка
615,589639229.3814151
616,569499196.6123749
617,1097423009.0598714
618,696929427.9209896
620,1276298621.7625422
621,374405980.2657344
623,1542431882.2756119
624,398075821.3734456
625,393127456.31502724
626,481243601.94592094
627,623212393.9464786
628,648629414.6730207
629,524026006.8762684
630,901885716.9102733
631,499586996.17929757
632,646093621.6775249
633,252930972.74236706
634,440705058.2037569
635,478276589.6441208
636,1455102340.9464135
638,423286919.0407556
639,1217924203.2574844
640,1592830928.9933584
641,585826173.4989249
642,1214451848.0219376
643,826447270.7630589
644,1433889976.081308
645,557602210.6105087
646,1074323572.3266044
647,1011062231.6333911
648,940464114.1629074
649,404504220.6272342
650,473411919.17925775
651,631220340.8954318
652,640876420.0735197
653,346691585.566867
654,795744231.0035241
655,650985491.1605161
656,1354565725.122082
657,366159113.9545932
658,483892597.2056168
659,646625404.7134405
660,1466170000.5012403
661,751011159.9650943
662,584020810.0114651
663,483010102.24960715
664,424651489.8153808
665,617685094.6835676
666,472174718.8420131
667,590714331.3240238
668,1301018544.47691
669,864265417.3113015
671,1505439313.585874
673,432297288.04584014
674,1503348580.4495091
675,628214589.1802939
676,632912626.6266817
677,1385447493.5401716
678,383561346.24937576
679,677660880.5887854
680,425804777.39447904
